Question,Answer,Unigram_Recall,Unigram_Precision,Bigram_Recall,Bigram_Precision,Context
Dlabs CEO,"The CEO of DLabs at I-Venture @ ISB is Saumya Kumar. Here is a brief overview of Saumya Kumar's role and responsibilities:

- **Name:** Saumya Kumar
- **Position:** Director, I-Venture @ ISB & CEO, DLabs
- **LinkedIn Profile:** [Saumya Kumar's LinkedIn Profile](https://www.linkedin.com/in/saumya-kumar-1b3b1b2/)

Saumya Kumar plays a crucial role in leading the innovation and entrepreneurship initiatives at DLabs. As the CEO, some of Saumya Kumar's responsibilities may include:

- Overseeing the strategic direction and operations of DLabs
- Collaborating with stakeholders to support startups and nurture innovations
- Building a strong ecosystem of mentors, VCs, and academicians
- Ensuring startups have access to resources and support for growth
- Working towards creating a conducive environment for entrepreneurial ventures

Saumya Kumar's leadership and expertise contribute to the success of DLabs and the overall entrepreneurial ecosystem at I-Venture @ ISB.",0.0616929698708751,0.5308641975308642,0.019298245614035,0.019298245614035,
Which startup are supported by iventure,"I-Venture @ ISB supports various startups and entrepreneurs through its programs and initiatives. Here are some of the startups that have been supported by I-Venture @ ISB:

1. Ergon Mobility Private Limited: A startup incubated by D-Labs at ISB.
2. Wabs: A startup incubated by D-Labs at ISB.
3. Pro Dough: A startup incubated by D-Labs at ISB.
4. Other startups that have participated in events, mentorship sessions, and accelerator programs organized by I-Venture @ ISB.

These are just a few examples of the startups that have received support and guidance from I-Venture @ ISB.",0.0304083405734144,0.625,0.0040413111809609,0.0040413111809609,
Are there any programs in Panchkula?,"Yes, there is a program called the **Technology Entrepreneurship Program - Tricity Edition** that includes Panchkula as part of the Tricity region. Here are some details about the program:

- **Program Name:** Technology Entrepreneurship Program - Tricity Edition
- **Location:** Tricity region, which includes Mohali, Chandigarh, and Panchkula
- **Aim:** To provide an enabling platform for aspiring and budding student innovators in the Tricity region
- **Target Audience:** Students pursuing their Bachelors & Masters in any field of Engineering
- **Focus Themes:** Tech Innovations, Social Innovations, Rural Innovations

**Program Offerings:**
- Ideation to Proof Of Concept
- Access to ISB Mentor Community
- Business Acumen training
- Pre-Incubation Support
- Product Development resources
- Fundraising Opportunities

**Program Timeline & Activities:**
- **Roadshows:** August - September 2023
- **Bootcamp & Final Pitch:** September 2023
- **Pre-Incubation:** October - December 2023

**Engagement during Pre-Incubation:**
- Technical Aspects
- Business Aspects
- Compliances

**Top 10 Selected Teams:**
- The program has selected top teams from various institutions including Plaksha University, Punjab Engineering College, Chandigarh University, Thappar University of Engineering and Technology, and more.

**Host Institute & Incubation Partners:**
- For more information, you can contact the program organizers at the provided email addresses.

If you are interested in participating or learning more about this program, you can reach out to the program organizers for further details.",0.1213720316622691,0.6133333333333333,0.0428571428571428,0.0428571428571428,
Who is Aryan Jaiswal?,"Aryan Jaiswal is the Assistant Program Manager at AIC ISB (Atal Incubation Center, Indian School of Business). He is involved in managing and coordinating various programs and initiatives under I-Venture @ ISB. Aryan plays a key role in supporting student innovators and entrepreneurs in their journey from ideation to prototyping and fundraising. He is actively engaged in providing mentorship, organizing events like roadshows and bootcamps, and facilitating pre-incubation support for budding entrepreneurs.

If you have any specific questions about Aryan Jaiswal's role or contributions to the I-Venture @ ISB programs, feel free to ask!",0.040590405904059,0.6111111111111112,0.0099557522123893,0.0099557522123893,
"Who is the assistant program manager at aic, isb?","The Assistant Program Manager at AIC, ISB is responsible for assisting the program manager in designing, promoting, and managing the AIC ISB incubation/acceleration programs. Here are some details about the Assistant Program Manager position at AIC, ISB:

**Roles and Responsibilities:**
- Assisting Program Managers in new programs within AIC incubation, acceleration, and corporate innovation verticals
- Support in end-to-end management of programs along with stakeholder management
- Engage with the startup ecosystem in India
- Develop and manage a pipeline of mentors, industry experts, and advisors for AIC across diverse industries
- Work closely with ISB and its faculty members to leverage their subject matter expertise
- Scout for potential startups looking to scale up
- Evaluate startups based on their business model and technical feasibility
- Provide one-on-one support for startups in business development areas
- Ensure smooth and efficient functioning of the program at AIC
- Program documentation and reporting with AIC stakeholders
- Manage day-to-day interaction with the Incubatees and provide strategic guidance to entrepreneurs

**Skills and Experiences:**
- Masters or Bachelors degree with minimum 3-5 years of relevant experience
- 1-2 years of experience working with entrepreneurs, startups, incubators, or incubation consultancy
- Ability to thrive in a startup ecosystem and deliver fast results
- Strong project management skills
- Prior work in an incubator/accelerator would be an advantage
- Prior entrepreneurial experience would be an advantage
- Excellent written and verbal communication skills

If you have any specific questions or need more information about the Assistant Program Manager at AIC, ISB, feel free to ask!",0.1766423357664233,0.7658227848101266,0.1116751269035533,0.1116751269035533,
Who is the marcom manager?,The Marcom Manager at I-Venture @ ISB is Saikat Gupta.,0.0092421441774491,1.0,0.0025974025974025,0.0025974025974025,
who heads great four systems?,I could not find an answer.,0.0047393364928909,0.1666666666666666,0.0,0.0,
who heads greatfour systems?,GreatFour Systems is headed by Pradeep Mittal.,0.0104895104895104,0.8571428571428571,0.0022650056625141,0.0022650056625141,
who heads greatfour systems?,GreatFour Systems is headed by Pradeep Mittal.,0.0104895104895104,0.8571428571428571,0.0022650056625141,0.0022650056625141,
can you provide his linkedin profile?,"I'm unable to provide direct links. However, you can find Pradeep Mittal's LinkedIn profile by searching for his name on the LinkedIn platform.",0.0188356164383561,0.5,0.0022346368715083,0.0022346368715083,
